================ Training Loss (Mon May 27 10:09:40 2019) ================
(epoch: 50, iters: 2, time: 0.291, data: 0.265) D_A: 0.268 G_A: 0.502 cycle_A: 1.937 idt_A: 0.824 D_B: 0.346 G_B: 0.276 cycle_B: 1.739 idt_B: 0.905 
(epoch: 100, iters: 2, time: 0.284, data: 0.281) D_A: 0.240 G_A: 0.752 cycle_A: 1.838 idt_A: 0.715 D_B: 0.376 G_B: 0.304 cycle_B: 1.607 idt_B: 0.841 
(epoch: 150, iters: 2, time: 0.287, data: 0.303) D_A: 0.224 G_A: 0.279 cycle_A: 1.040 idt_A: 0.140 D_B: 0.136 G_B: 0.321 cycle_B: 0.311 idt_B: 0.458 
(epoch: 200, iters: 2, time: 9.513, data: 0.316) D_A: 0.219 G_A: 0.571 cycle_A: 1.557 idt_A: 0.120 D_B: 0.224 G_B: 0.246 cycle_B: 0.243 idt_B: 0.731 
================ Training Loss (Mon May 27 22:46:12 2019) ================
(epoch: 1, iters: 100, time: 0.298, data: 0.334) D_A: 0.618 G_A: 1.010 cycle_A: 3.401 idt_A: 1.953 D_B: 0.667 G_B: 0.920 cycle_B: 4.293 idt_B: 1.534 
(epoch: 1, iters: 200, time: 0.300, data: 0.002) D_A: 0.582 G_A: 0.863 cycle_A: 2.872 idt_A: 1.120 D_B: 0.735 G_B: 0.692 cycle_B: 2.967 idt_B: 1.385 
(epoch: 2, iters: 100, time: 0.296, data: 0.277) D_A: 0.680 G_A: 0.704 cycle_A: 2.779 idt_A: 1.144 D_B: 0.608 G_B: 1.174 cycle_B: 2.414 idt_B: 1.422 
(epoch: 2, iters: 200, time: 1.276, data: 0.002) D_A: 0.563 G_A: 0.912 cycle_A: 3.367 idt_A: 1.395 D_B: 0.229 G_B: 0.614 cycle_B: 2.868 idt_B: 1.710 
(epoch: 3, iters: 100, time: 0.301, data: 0.401) D_A: 0.772 G_A: 0.857 cycle_A: 5.085 idt_A: 0.935 D_B: 0.263 G_B: 0.749 cycle_B: 2.143 idt_B: 2.439 
(epoch: 3, iters: 200, time: 0.301, data: 0.002) D_A: 0.361 G_A: 0.953 cycle_A: 1.918 idt_A: 0.963 D_B: 0.358 G_B: 1.523 cycle_B: 3.586 idt_B: 0.976 
(epoch: 4, iters: 100, time: 0.307, data: 0.254) D_A: 0.835 G_A: 1.086 cycle_A: 2.301 idt_A: 1.846 D_B: 1.148 G_B: 0.148 cycle_B: 4.075 idt_B: 1.135 
(epoch: 4, iters: 200, time: 1.394, data: 0.002) D_A: 0.684 G_A: 0.555 cycle_A: 3.181 idt_A: 1.108 D_B: 0.549 G_B: 0.151 cycle_B: 2.290 idt_B: 1.583 
(epoch: 5, iters: 100, time: 0.302, data: 0.313) D_A: 0.603 G_A: 1.274 cycle_A: 2.931 idt_A: 1.002 D_B: 0.264 G_B: 0.848 cycle_B: 2.513 idt_B: 1.425 
(epoch: 5, iters: 200, time: 0.301, data: 0.002) D_A: 1.982 G_A: 0.124 cycle_A: 2.009 idt_A: 1.960 D_B: 0.448 G_B: 0.726 cycle_B: 4.316 idt_B: 0.793 
(epoch: 6, iters: 100, time: 0.298, data: 0.243) D_A: 0.295 G_A: 0.761 cycle_A: 1.780 idt_A: 1.018 D_B: 0.820 G_B: 0.742 cycle_B: 2.058 idt_B: 0.778 
